Generation,Fcalc,Qfactor,Vm
1,1.450687,30351.85908,6.04E-07
1.059701493,1.448255,29734.71602,5.61E-07
1.119402985,1.449995,25120.35148,5.89E-07
1.179104478,1.449999,29851.07372,4.21E-07
1.23880597,1.45,29612.73279,5.94E-07
1.298507463,1.454075,32055.9365,6.46E-07
1.358208955,1.449994,26411.71229,4.14E-07
1.417910448,1.449998,28943.82682,5.01E-07
1.47761194,1.443816,26144.53739,6.97E-07
1.537313433,1.45,30746.09669,5.85E-07
1.597014925,1.45,32014.74427,5.00E-07
1.656716418,1.449998,31160.10594,5.25E-07
1.71641791,1.450008,30747.01045,6.02E-07
1.776119403,1.450001,24153.84978,6.70E-07
1.835820896,1.449999,33221.6999,5.11E-07
1.895522388,1.450006,27938.70246,4.91E-07
1.955223881,1.45,28683.80067,6.03E-07
2.014925373,1.441031,29402.19201,4.59E-07
2.074626866,1.45,27445.54585,6.55E-07
2.134328358,1.450001,27519.30017,6.07E-07
2.194029851,1.450028,29033.20274,5.94E-07
2.253731343,1.45,30000.26698,5.77E-07
2.313432836,1.45004,29406.09353,5.30E-07
2.373134328,1.45,33259.65294,5.04E-07
2.432835821,1.450006,26605.17143,5.47E-07
2.492537313,1.449999,29851.07637,4.21E-07
2.552238806,1.449999,28723.84297,4.94E-07
2.611940299,1.449999,33274.38392,4.65E-07
2.671641791,1.450004,32314.62938,5.09E-07
2.731343284,1.45,29918.74492,5.51E-07
2.791044776,1.450005,29851.1366,4.21E-07
2.850746269,1.45,30236.38525,4.66E-07
2.910447761,1.45,30580.53828,7.23E-07
2.970149254,1.450005,29366.42808,4.97E-07
3.029850746,1.45,33796.19573,4.77E-07
3.089552239,1.45001,30655.3524,4.12E-07
3.149253731,1.45,29252.48037,4.11E-07
3.208955224,1.45,30523.81419,5.04E-07
3.268656716,1.450035,34658.0217,4.69E-07
3.328358209,1.450001,29770.93611,4.13E-07
3.388059701,1.449999,35685.65942,4.12E-07
3.447761194,1.450002,27713.0421,5.56E-07
3.507462687,1.449997,29366.345,4.97E-07
3.567164179,1.45,32336.09459,5.19E-07
3.626865672,1.450021,32587.74549,4.34E-07
3.686567164,1.450004,29419.76165,4.78E-07
3.746268657,1.449998,29373.15795,5.12E-07
3.805970149,1.449999,29506.98854,4.30E-07
3.865671642,1.45,29412.8251,4.48E-07
3.925373134,1.45,31618.33216,4.31E-07
3.985074627,1.449999,32983.36752,4.46E-07
4.044776119,1.451863,31806.86704,4.79E-07
