Generation,Highest Fp,Average Fp,Iteration,Fp
1,71501917988,59578042921,1,50234599719
2,86524935450,68008860213,1.059701493,52997349405
3,1.02498E+11,76386535151,1.119402985,42648393531
4,1.11029E+11,84647110014,1.179104478,70878599561
5,1.1548E+11,98661920527,1.23880597,49866637075
6,1.23453E+11,1.0867E+11,1.298507463,49603134789
7,1.31049E+11,1.13424E+11,1.358208955,63871005643
8,1.38475E+11,1.21202E+11,1.417910448,57740469734
9,1.44942E+11,1.30043E+11,1.47761194,37532401329
10,1.44942E+11,1.30127E+11,1.537313433,52562338868
11,1.53025E+11,1.36602E+11,1.597014925,64045585090
12,1.56476E+11,1.33939E+11,1.656716418,59305616916
13,1.79812E+11,1.43515E+11,1.71641791,51072992545
14,1.79812E+11,1.56674E+11,1.776119403,36067445193
15,1.79812E+11,1.53451E+11,1.835820896,65067262732
16,1.8259E+11,1.58226E+11,1.895522388,56926930071
17,1.8259E+11,1.68494E+11,1.955223881,47557845521
18,1.82799E+11,1.73246E+11,2.014925373,64052708668
19,1.82799E+11,1.81264E+11,2.074626866,41931903385
20,1.82799E+11,1.76607E+11,2.134328358,45355216636
21,1.82799E+11,1.78265E+11,2.194029851,48908695469
22,1.82799E+11,1.72848E+11,2.253731343,52000203134
23,1.86673E+11,1.75867E+11,2.313432836,55511426270
24,1.86673E+11,1.83771E+11,2.373134328,65960604615
25,1.86673E+11,1.72944E+11,2.432835821,48628604530
26,1.8725E+11,1.8149E+11,2.492537313,70878605846
27,2.00908E+11,1.74368E+11,2.552238806,58201479345
28,2.03969E+11,1.79296E+11,2.611940299,71501917988
29,2.18455E+11,1.92989E+11,2.671641791,63529161032
30,2.18455E+11,1.90059E+11,2.731343284,54261839176
31,2.18457E+11,2.02198E+11,2.791044776,70878748846
32,2.39752E+11,1.94926E+11,2.850746269,64936839041
33,2.39752E+11,2.1291E+11,2.910447761,42323685050
34,2.53817E+11,2.13848E+11,2.970149254,59138477585
35,2.5445E+11,2.16852E+11,3.029850746,70851553988
