Generation,Alpha
1,0.922268
1.147076196,1.005014
1.294152392,0.798875
1.441228588,1.04223
1.588304784,0.88925
1.735380981,1.148467
1.882457177,0.89222
2.029533373,0.926579
2.176609569,0.97225
2.323685765,0.92669
2.470761961,1.053193
2.617838157,1.029414
2.764914353,1.084564
2.911990549,0.935371
3.059066745,1.187935
3.206142942,0.904051
3.353219138,1.054965
3.500295334,0.99121
3.64737153,1.0509
3.794447726,1.01061
3.941523922,1.125103
4.088600118,0.873971
4.235676314,1.064345
4.38275251,0.921405
4.529828706,0.94536
4.676904903,0.88007
4.823981099,0.864543
4.971057295,1.070856
5.118133491,0.966114
5.265209687,0.843365
5.412285883,0.904353
5.559362079,0.870194
5.706438275,0.974861
5.853514471,0.86086
6.000590667,1.077526
6.147666864,1.098882
6.29474306,0.951808
6.441819256,0.978255
6.588895452,0.996309
6.735971648,1
6.883047844,0.934079
7.03012404,0.850415
7.177200236,1.070512
7.324276432,0.919778
7.471352628,0.860253
7.618428825,0.945643
7.765505021,1.074274
7.912581217,0.976006
8.059657413,1
8.206733609,0.839572
8.353809805,1.059145
8.500886001,0.867257
8.647962197,1.115667
8.795038393,0.894649
8.942114589,1.031713
9.089190786,1.153021
9.236266982,1.036634
9.383343178,1.15302
9.530419374,1.103993
9.67749557,0.948189
9.824571766,1.122008
9.971647962,1.070549
10.11872416,1
10.26580035,1.235159
10.41287655,1.09878
10.55995275,1.144097
10.70702894,1
10.85410514,1
11.00118133,1
11.14825753,1.058395
11.29533373,1.152988
11.44240992,1.05419
11.58948612,1.152987
11.73656232,1.071403
11.88363851,1.101708
12.03071471,1.046677
12.1777909,1.153016
12.3248671,1.058124
12.4719433,0.977623
12.61901949,1.233678
12.76609569,1.20277
12.91317188,1.141912
13.06024808,1.203022
13.20732428,1.144105
13.35440047,1.063557
13.50147667,1.152987
13.64855286,1
13.79562906,1
13.94270526,1.105533
14.08978145,1.141901
14.23685765,1.20277
14.38393385,1.105405
14.53101004,1.175303
14.67808624,1.153073
14.82516243,1
14.97223863,0.970043
15.11931483,1.181256
15.26639102,1.212906
15.41346722,1.136484
15.56054341,1.261346
15.70761961,1.114985
15.85469581,1.144094
16.001772,1.25681
16.1488482,1.144105
16.29592439,1.161154
16.44300059,1.202772
16.59007679,1.153074
16.73715298,1.12794
16.88422918,1.156128
17.03130538,1
17.17838157,1.215266
17.32545777,1
17.47253396,1.076475
17.61961016,1.192351
17.76668636,1.061204
17.91376255,1.144099
18.06083875,1.233663
18.20791494,1.141913
18.35499114,1
18.50206734,1.264302
18.64914353,1.144105
18.79621973,1.215262
18.94329592,1.233683
19.09037212,1.099787
19.23744832,1.215218
19.38452451,1.092069
19.53160071,1.112738
19.6786769,1.224578
19.8257531,1
19.9728293,1
20.11990549,1.144105
20.26698169,1.226115
20.41405789,0.959675
20.56113408,1.261697
20.70821028,1.158005
20.85528647,1.231194
21.00236267,1
21.14943887,1.184185
21.29651506,1.226172
21.44359126,1.209076
21.59066745,1.261378
21.73774365,1
21.88481985,1
22.03189604,1.215267
22.17897224,1.18981
22.32604843,1.255619
22.47312463,1.212906
22.62020083,1.261376
22.76727702,1.155971
22.91435322,1.209058
23.06142942,1
23.20850561,1.255602
23.35558181,1
23.502658,1.07526
23.6497342,1.20905
23.7968104,1.169681
23.94388659,1.215261
24.09096279,1
24.23803898,1.255596
24.38511518,1.073289
24.53219138,1.212887
24.67926757,1
24.82634377,1.230524
24.97341996,1.255608
25.12049616,1.215267
25.26757236,1.254859
25.41464855,1
25.56172475,1
25.70880095,1
25.85587714,1
26.00295334,1
26.15002953,1
26.29710573,1
26.44418193,1
26.59125812,1.402642
26.73833432,1.25297
26.88541051,1
27.03248671,1
27.17956291,1.215267
27.3266391,1.250004
27.4737153,1.018996
27.62079149,1.173453
27.76786769,1.131652
27.91494389,1.255571
28.06202008,1
28.20909628,1
28.35617247,1.209485
28.50324867,1.349394
28.65032487,1.255569
28.79740106,1
28.94447726,1
29.09155346,1
29.23862965,1
29.38570585,1
29.53278204,1
29.67985824,1
29.82693444,1
29.97401063,1
30.12108683,1
30.26816302,1.1907
30.41523922,1.253019
30.56231542,1
30.70939161,1.311999
30.85646781,1.255569
31.003544,1
31.1506202,1
31.2976964,1.216687
31.44477259,1.255602
31.59184879,1
31.73892499,1
31.88600118,1.324973
32.03307738,1.255569
32.18015357,1.221435
32.32722977,1.255626
32.47430597,1.208749
32.62138216,0.986285
32.76845836,1.273028
32.91553455,1
33.06261075,1
33.20968695,1
33.35676314,1
33.50383934,1.31199
33.65091553,1
33.79799173,1.255569
33.94506793,1
34.09214412,1.065443
34.23922032,1.255568
34.38629652,1
34.53337271,1.236912
34.68044891,1.107824
34.8275251,1.311959
34.9746013,1.534616
35.1216775,1.311961
35.26875369,1
35.41582989,1.369905
35.56290608,1.31196
35.70998228,1
35.85705848,1.24305
36.00413467,1.107233
36.15121087,1.221174
36.29828706,1.255626
36.44536326,1.018532
36.59243946,1.311987
36.73951565,1.20163
36.88659185,1.255626
37.03366804,1
37.18074424,1.31202
37.32782044,1
37.47489663,1
37.62197283,1
37.76904903,1
37.91612522,1
38.06320142,1
38.21027761,1
38.35735381,1
38.50443001,1
38.6515062,1
38.7985824,1
38.94565859,1.534616
39.09273479,1.114007
39.23981099,1.311958
39.38688718,1
39.53396338,1.418324
39.68103957,1.293149
39.82811577,1.311999
39.97519197,1
40.12226816,1
40.26934436,1.534616
40.41642056,1.311961
40.56349675,1
40.71057295,1
40.85764914,1
41.00472534,1
41.15180154,1.642968
41.29887773,1.422006
41.44595393,1.31196
41.59303012,1.566166
41.74010632,1.636592
41.88718252,1.582888
42.03425871,1
42.18133491,1.422005
42.3284111,1.382709
42.4754873,1.642983
42.6225635,1.36663
42.76963969,1.267585
42.91671589,1.2938
43.06379209,1
43.21086828,1.534607
43.35794448,1.418332
43.50502067,1.534609
43.65209687,1.253046
43.79917307,1.421976
43.94624926,1.459083
44.09332546,1.597715
44.24040165,1.529468
44.38747785,1.643016
44.53455405,1.422006
44.68163024,1.53463
44.82870644,1.468785
44.97578263,1.382709
45.12285883,1.31196
45.26993503,1.421973
45.41701122,1
45.56408742,1.5427
45.71116361,1.643029
45.85823981,1.53465
46.00531601,1.576998
46.1523922,1.721148
46.2994684,1.759022
46.4465446,1.18889
46.59362079,1.642973
46.74069699,1.673796
46.88777318,1.642824
47.03484938,1.175415
47.18192558,1.542688
47.32900177,1.24426
47.47607797,1.642973
47.62315416,1.666704
47.77023036,1
47.91730656,1.377122
48.06438275,1.542704
48.21145895,1.589916
48.35853514,1.666707
48.50561134,1.643045
48.65268754,1.696849
48.79976373,1
48.94683993,1.235931
49.09391613,1.666638
49.24099232,1.226191
49.38806852,1.721149
49.53514471,1.58312
49.68222091,1.347488
49.82929711,1.721145
49.9763733,1.696785
50.1234495,1.696785
50.27052569,1.857364
50.41760189,1.339998
50.56467809,1.680234
50.71175428,1.554645
50.85883048,1.702641
51.00590667,1
51.15298287,1
51.30005907,1
51.44713526,1
51.59421146,1.857352
51.74128766,1.478483
51.88836385,1.721139
52.03544005,1
52.18251624,1
52.32959244,1
52.47666864,1.682653
52.62374483,1.35027
52.77082103,1.721142
52.91789722,1
53.06497342,1.975608
53.21204962,1.484538
53.35912581,1.865433
53.50620201,1.697274
53.6532782,1.26566
53.8003544,1.721148
53.9474306,1
54.09450679,1.350341
54.24158299,1.684404
54.38865918,1.336945
54.53573538,1.721147
54.68281158,1.975608
54.82988777,1.372343
54.97696397,1.721141
55.12404017,1
55.27111636,1
55.41819256,1
55.56526875,1
55.71234495,1.48826
55.85942115,1.721146
56.00649734,1
56.15357354,1
56.30064973,1
56.44772593,1
56.59480213,1
56.74187832,1
56.88895452,1.88789
57.03603071,1.473233
57.18310691,1.721148
57.33018311,1
57.4772593,1
57.6243355,1
57.7714117,1
57.91848789,1
58.06556409,1.652385
58.21264028,1.499892
58.35971648,1.721147
58.50679268,1
58.65386887,1
58.80094507,1
58.94802126,1.454197
59.09509746,1.721132
59.24217366,1
59.38924985,1.869948
59.53632605,1.53716
59.68340224,1.72114
59.83047844,1
59.97755464,1.512313
60.12463083,1.721146
60.27170703,1
60.41878323,1
60.56585942,1.579664
60.71293562,1.721148
60.86001181,1
61.00708801,1
61.15416421,1.517989
61.3012404,1.721137
61.4483166,1
61.59539279,1
61.74246899,1
61.88954519,1
62.03662138,1
62.18369758,1
62.33077377,1.55725
62.47784997,1.721145
62.62492617,1
62.77200236,1
62.91907856,1
63.06615475,1
63.21323095,1
63.36030715,1.681551
63.50738334,1.599216
63.65445954,1.721157
63.80153574,1
63.94861193,1
64.09568813,1
64.24276432,1
64.38984052,1
64.53691672,1
64.68399291,1
64.83106911,1
64.9781453,1
65.1252215,1
65.2722977,1
65.41937389,1
65.56645009,1
65.71352628,1.910824
65.86060248,1.310693
66.00767868,1.721147
66.15475487,1
66.30183107,1
66.44890727,1
66.59598346,1
66.74305966,1
66.89013585,1
67.03721205,1
67.18428825,1.72114
67.33136444,1.467518
67.47844064,1.721137
67.62551683,1
67.77259303,1
67.91966923,1
68.06674542,1
68.21382162,1
68.36089781,1
68.50797401,1
68.65505021,1
68.8021264,1
68.9492026,1
69.0962788,1
69.24335499,1
69.39043119,1
69.53750738,1
69.68458358,1
69.83165978,1
69.97873597,1
70.12581217,1
70.27288836,1
70.41996456,1
70.56704076,1
70.71411695,1
70.86119315,1
71.00826934,1
71.15534554,1
71.30242174,1
71.44949793,1
71.59657413,1
71.74365032,1
71.89072652,1
72.03780272,1.527744
72.18487891,1.72814
72.33195511,1
72.47903131,1
72.6261075,1.605593
72.7731837,1.303761
72.92025989,1.600194
73.06733609,1.721171
73.21441229,1.365568
73.36148848,1.721141
73.50856468,1
73.65564087,1
73.80271707,1
73.94979327,1.384278
74.09686946,1.098633
74.24394566,1.72114
74.39102185,1.968765
74.53809805,1.28302
74.68517425,1.312032
74.83225044,1.571602
74.97932664,1.651246
75.12640284,1.721201
75.27347903,1
75.42055523,1.428306
75.56763142,1.365559
75.71470762,1.721141
75.86178382,1
76.00886001,1.759503
76.15593621,1.39998
76.3030124,1.746311
76.4500886,1.855968
76.5971648,1.653808
76.74424099,1.427131
76.89131719,1.672629
77.03839338,1.396984
77.18546958,1.465048
77.33254578,1.67263
77.47962197,1.518728
77.62669817,1.397051
77.77377437,1.612648
77.92085056,1.74524
78.06792676,1
78.21500295,1.624519
78.36207915,1.228723
78.50915535,1
78.65623154,1.633669
78.80330774,1.721184
78.95038393,1
79.09746013,1.605888
79.24453633,1.672683
79.39161252,1.654534
79.53868872,1.758877
79.68576491,1.648681
79.83284111,1.746299
79.97991731,1.421332
80.1269935,1.640074
80.2740697,1
80.42114589,1
80.56822209,1.519198
80.71529829,1.721146
80.86237448,1.766654
81.00945068,1.766669
81.15652688,1.754143
81.30360307,1.434985
81.45067927,1.654544
81.59775546,1.500403
81.74483166,1.672623
81.89190786,1.827518
82.03898405,1.538723
82.18606025,1.609573
82.33313644,1.649858
82.48021264,1.200696
82.62728884,1.672627
82.77436503,1
82.92144123,1
83.06851742,1.525826
83.21559362,1.421152
83.36266982,1.654534
83.50974601,1.609588
83.65682221,1.654592
83.80389841,1.505714
83.9509746,1.766661
84.0980508,1.649783
84.24512699,1.619273
84.39220319,1.74632
84.53927939,1.672687
84.68635558,1.309043
84.83343178,1.766666
84.98050797,1
85.12758417,1
85.27466037,1.562492
85.42173656,1.654609
85.56881276,1.818678
85.71588895,1.672622
85.86296515,1.766654
86.01004135,1.620184
86.15711754,1.766654
86.30419374,1.302371
86.45126994,1.785961
86.59834613,1.610624
86.74542233,1.766655
86.89249852,2.018666
87.03957472,1.275009
87.18665092,1.490136
87.33372711,1.376764
87.48080331,1.524391
87.6278795,1.766661
87.7749557,1.620184
87.9220319,1.766654
88.06910809,2.018666
88.21618429,1.578738
88.36326048,1.766663
88.51033668,1
88.65741288,1.756269
88.80448907,1.652567
88.95156527,1.766702
89.09864146,2.018666
89.24571766,1.748045
89.39279386,1.709431
89.53987005,1.766701
89.68694625,1
89.83402245,1
89.98109864,1.569798
90.12817484,1.766653
90.27525103,1.591832
90.42232723,1.766657
90.56940343,1
90.71647962,1.863458
90.86355582,1
91.01063201,1.710494
91.15770821,1.863394
91.30478441,1
91.4518606,1.757372
91.5989368,1.867542
91.74601299,1.666665
91.89308919,1.74156
92.04016539,1.888461
92.18724158,1.679845
92.33431778,1.514122
92.48139398,1.79067
92.62847017,1
92.77554637,1.947424
92.92262256,1.510349
93.06969876,1.888467
93.21677496,1.818917
93.36385115,1.629313
93.51092735,1.790684
93.65800354,1
93.80507974,1
93.95215594,1
94.09923213,1
94.24630833,1.367567
94.39338452,1.732961
94.54046072,1.242177
94.68753692,1.790685
94.83461311,1
94.98168931,1.301161
95.12876551,1.73297
95.2758417,1.786523
95.4229179,1
95.56999409,1.778932
95.71707029,1
95.86414649,1.165877
96.01122268,1.713491
96.15829888,1
96.30537507,1.790732
96.45245127,1.582652
96.59952747,1.739624
96.74660366,1.732959
96.89367986,1
97.04075605,1.66207
97.18783225,1.733002
97.33490845,1.317876
97.48198464,1.790694
97.62906084,1.344198
97.77613703,1.790698
97.92321323,1.518752
98.07028943,1.412039
98.21736562,1.475044
98.36444182,1.732954
98.51151802,1.657222
98.65859421,1.721888
98.80567041,1.593998
98.9527466,1.47876
99.0998228,1.314412
99.246899,1.73426
99.39397519,1.572813
99.54105139,1.81928
99.68812758,1.691922
99.83520378,1.732999
99.98227998,1
100.1293562,1
100.2764324,1.182695
100.4235086,1.790682
100.5705848,1
100.717661,1.566606
100.8647372,2.033945
101.0118133,1.729144
101.1588895,1.732959
101.3059657,1.734252
101.4530419,1.691673
101.6001181,1.891262
101.7471943,1.746736
101.8942705,1.891265
102.0413467,1.729145
102.1884229,1.647535
102.3354991,1.790679
102.4825753,1.372278
102.6296515,1.715866
102.7767277,1
102.9238039,1
103.0708801,1.790731
103.2179563,1.729218
103.3650325,1.732959
103.5121087,1.891256
103.6591849,1.154581
103.8062611,1.751621
103.9533373,1.326389
104.1004135,1.732967
104.2474897,2.015138
104.3945659,1.493409
104.5416421,1.614983
104.6887183,1.790687
104.8357944,1.729218
104.9828706,1
105.1299468,1
105.277023,1
105.4240992,1
105.5711754,1.636389
105.7182516,1.733003
105.8653278,1
106.012404,1.264159
106.1594802,1.73297
106.3065564,1
106.4536326,1
106.6007088,1
106.747785,1
106.8948612,1
107.0419374,1
107.1890136,1
107.3360898,1
107.483166,1
107.6302422,1
107.7773184,1
107.9243946,1
108.0714708,1
108.218547,1
108.3656232,1
108.5126994,1.287707
108.6597755,1.732972
108.8068517,1
108.9539279,1
109.1010041,1
109.2480803,1.871222
109.3951565,1.301531
109.5422327,1.704187
109.6893089,1.733015
109.8363851,1
109.9834613,1.869128
110.1305375,1.728536
110.2776137,1.225311
110.4246899,1.732961
110.5717661,1.476372
110.7188423,1.73296
110.8659185,1
111.0129947,1
111.1600709,1
111.3071471,1
111.4542233,1
111.6012995,1
111.7483757,1.25043
111.8954519,1.57845
112.0425281,1.537626
112.1896043,1.732959
112.3366804,1.645082
112.4837566,1.535736
112.6308328,1.757493
112.777909,1.321238
112.9249852,1.732967
113.0720614,1
113.2191376,1
113.3662138,1
113.51329,1
113.6603662,1
113.8074424,1
113.9545186,1
114.1015948,1
114.248671,1
114.3957472,1
114.5428234,1
114.6898996,1
114.8369758,1
114.984052,1.757528
115.1311282,1.733021
115.2782044,1.807707
115.4252806,1.4469
115.5723568,1.732964
115.719433,1.621521
115.8665092,1.732989
116.0135854,1
116.1606615,1
116.3077377,1
116.4548139,1
116.6018901,1.632869
116.7489663,1.434414
116.8960425,1.732964
117.0431187,1
117.1901949,1
117.3372711,1
117.4843473,1
117.6314235,1
117.7784997,1
117.9255759,1
118.0726521,1
118.2197283,1.652776
118.3668045,1.733016
118.5138807,1.434991
118.6609569,1.669113
118.8080331,1.733013
118.9551093,1
119.1021855,1.617815
119.2492617,1.745516
119.3963379,1.630548
119.5434141,1.805095
119.6904903,1.306142
119.8375665,1.732969
119.9846426,1.30511
120.1317188,1.710736
120.278795,1.686707
120.4258712,1.447893
120.5729474,1.732964
120.7200236,1
120.8670998,1.811359
121.014176,1.45599
121.1612522,1.80235
121.3083284,1.679528
121.4554046,1.048199
121.6024808,1.697572
121.749557,1.524028
121.8966332,1.413336
122.0437094,1.811325
122.1907856,1.647495
122.3378618,1.733016
122.484938,1
122.6320142,1
122.7790904,1.679528
122.9261666,1.745118
123.0732428,1
123.220319,1
123.3673952,1
123.5144714,1.872276
123.6615475,1.548883
123.8086237,1.732958
123.9556999,1
124.1027761,1
124.2498523,1.451642
124.3969285,1.732964
124.5440047,1.654365
124.6910809,1.679521
124.8381571,1.419206
124.9852333,1.732964
125.1323095,1
125.2793857,1.798909
125.4264619,1.679474
125.5735381,1.733013
125.7206143,1
125.8676905,1.433505
126.0147667,1.732967
126.1618429,1
126.3089191,1
126.4559953,1.841571
126.6030715,1.726152
126.7501477,1
126.8972239,1.581471
127.0443001,1.368151
127.1913763,1.690003
127.3384525,1.300595
127.4855286,1.746597
127.6326048,1
127.779681,1
127.9267572,1.315894
128.0738334,1.43435
128.2209096,1.732964
128.3679858,1.312825
128.515062,1.579742
128.6621382,1.732957
128.8092144,1.840493
128.9562906,1.356529
129.1033668,1.725647
129.250443,1.579771
129.3975192,1.655238
129.5445954,1.318869
129.6916716,1.497783
129.8387478,1.600104
129.985824,1.476573
130.1329002,1.282156
130.2799764,1.318864
130.4270526,1.78282
130.5741288,1.534662
130.721205,1.748288
130.8682812,1.398723
131.0153574,1.208754
131.1624335,1.285519
131.3095097,2.093971
131.4565859,1.613899
131.6036621,1.448542
131.7507383,1.559501
131.8978145,1.193757
132.0448907,1.418141
132.1919669,1.541769
132.3390431,1.497834
132.4861193,1.746586
132.6331955,1.72186
132.7802717,1.42533
132.9273479,1.746587
133.0744241,1.679291
133.2215003,1.732998
133.3685765,1
133.5156527,1
133.6627289,1.626333
133.8098051,1.733003
133.9568813,1
134.1039575,1
134.2510337,1.546889
134.3981099,1.74658
134.5451861,1
134.6922623,1
134.8393385,1.598891
134.9864146,1.74659
135.1334908,1
135.280567,1
135.4276432,1
135.5747194,1
135.7217956,1.567401
135.8688718,1.746588
136.015948,1
136.1630242,1.339363
136.3101004,1.735119
136.4571766,1
136.6042528,1.678174
136.751329,1.746635
136.8984052,1.490434
137.0454814,1.712648
137.1925576,1.746639
137.3396338,1
137.48671,1.682412
137.6337862,1.990636
137.7808624,1.490078
137.9279386,1.74658
138.0750148,1.717376
138.222091,1.8552
138.3691672,1.18757
138.5162434,1.347271
138.6633196,1.746589
138.8103957,1.490127
138.9574719,1.74658
139.1045481,1.99065
139.2516243,1.483293
139.3987005,1.513228
139.5457767,1
139.6928529,1.990652
139.8399291,1.345782
139.9870053,1.990651
140.1340815,1.571568
140.2811577,1.89727
140.4282339,1.452005
140.5753101,1.990653
140.7223863,1.596434
140.8694625,1.746586
141.0165387,1.609481
141.1636149,1.341562
141.3106911,1.746592
141.4577673,1.360191
141.6048435,1.746591
141.7519197,1
141.8989959,1.939363
142.0460721,1.746588
142.1931483,1.576528
142.3402245,1.990645
142.4873006,1
142.6343768,1
142.781453,1.673348
142.9285292,1.441166
143.0756054,1.3769
143.2226816,1.990649
143.3697578,1.609898
143.516834,1.576527
143.6639102,1.684447
143.8109864,1.989602
143.9580626,1.585128
144.1051388,2.047568
144.252215,1.376854
144.3992912,1.990649
144.5463674,1.802469
144.6934436,1.928799
144.8405198,1.24647
144.987596,1.990646
145.1346722,1.519193
145.2817484,1.990651
145.4288246,1.221858
145.5759008,1.990646
145.722977,1.453103
145.8700532,1.3769
146.0171294,1.990649
146.1642056,1.194435
146.3112817,1.990646
146.4583579,1.577473
146.6054341,1.521066
146.7525103,1.266042
146.8995865,1.990646
147.0466627,1
147.1937389,1.841509
147.3408151,1.273931
147.4878913,1.990646
147.6349675,1
147.7820437,1
147.9291199,1
148.0761961,1
148.2232723,1
148.3703485,1
148.5174247,1.403217
148.6645009,1.79751
148.8115771,1.869538
148.9586533,1.455473
149.1057295,1.990654
149.2528057,1.452655
149.3998819,1
149.5469581,1.957492
149.6940343,1.538414
149.8411105,1.563168
149.9881867,1.69404
150.1352628,1.990648
150.282339,1.687855
150.4294152,1.893906
150.5764914,1.483729
150.7235676,1.614701
150.8706438,1.990646
151.01772,1
151.1647962,1.319827
151.3118724,1.541498
151.4589486,1.990647
151.6060248,1.306109
151.753101,1.885088
151.9001772,1.638584
152.0472534,1.990648
152.1943296,1
152.3414058,1
152.488482,1
152.6355582,1.402327
152.7826344,2.007709
152.9297106,1
153.0767868,1
153.223863,1
153.3709392,1
153.5180154,1
153.6650916,1
153.8121677,1.473221
153.9592439,1.441625
154.1063201,1.990653
154.2533963,1
154.4004725,1.35044
154.5475487,1.958472
154.6946249,1.601517
154.8417011,1.758929
154.9887773,1.940167
155.1358535,1.918207
155.2829297,1.650976
155.4300059,1.219377
155.5770821,1.54497
155.7241583,1.990652
155.8712345,1.613238
156.0183107,1.858561
156.1653869,1.01739
156.3124631,1.912896
156.4595393,1.467113
156.6066155,1.990654
156.7536917,1.362336
156.9007679,1.647799
157.0478441,1.990651
157.1949203,1.472779
157.3419965,1.504365
157.4890727,1.990657
157.6361488,1.39344
157.783225,2.032885
157.9303012,1.362337
158.0773774,1.990648
158.2244536,1.598804
158.3715298,1.990649
158.518606,1
158.6656822,1.328247
158.8127584,2.032884
158.9598346,1.349132
159.1069108,1.990652
159.253987,1
159.4010632,1
159.5481394,1.882292
159.6952156,1.893711
159.8422918,1.228656
159.989368,2.032883
160.1364442,1.549537
160.2835204,2.032889
160.4305966,1.362139
160.5776728,2.03289
