Generation,Highest Fp,Average Fp
1,22081226243,17093934634
2,22223125247,18674168193
3,25016893008,20767424963
4,25016893008,21848862746
5,26287303758,22801994587
6,26287303758,24206841906
7,26623259147,24858461586
8,26632378349,24931573497
9,26768550115,25983206611
10,27281353201,25858702084
11,27889639078,25758174106
12,27899450100,26855992833
13,30516535965,26384543953
14,30516721313,27479864260
15,30629141674,28599731976
16,31347689450,29260964597
17,32302692903,29506020672
18,32393889580,31008566088
19,32394095265,29475935937
20,34615995450,29729043377
21,34615995450,31577350420
22,34615995450,32810844933
23,34615995450,32594651885
24,36339999203,33851525513
25,36340197010,34232778304
26,36340197010,35865534446
27,36340197010,34525409160
28,36340197010,32883094671
29,36340197010,33257546731
30,36340197010,34731659906
31,36340197010,35577560318
32,36340197010,34329205172
33,36340197010,36207779070
34,37547693667,33130744919
35,37552194121,34558810174
36,37552194121,37180772148
37,37552194121,35109590028
38,37552194121,37551798832
39,40697288589,35426140130
40,40697375452,32764207037
41,40697375452,35824577138
42,40697632823,38058971177
43,40697922314,37177145863
44,41097177460,40644748817
45,41097177460,37791480027
46,41097177460,40087531149
47,43385889247,38466758146
48,43385889247,38135751032
49,45538402405,41000587416
50,45538402405,37334718549
51,47492374129,39094189602
52,47492374129,27833309451
53,48432073129,23009437598
54,48432073129,15144462264
55,48432073129,26342784369
56,50463460768,37647265819
57,50463460768,38251585478
58,50463976421,22026440591
59,50463976421,18749953156
60,50626551937,36457416423
61,50626551937,26952643827
62,50626551937,33033366368
63,50626551937,23285684086
64,51012528743,28180351174
65,51012528743,38604938977
66,51479242114,25510125112
67,51479242114,12718685995
68,51479242114,7656024401
69,51479242114,7675214980
70,51479242114,20511144689
71,53682725674,27759694847
72,53682725674,35248755468
73,53682744159,24800837375
74,53682744159,37249929754
75,53682744159,17563454959
76,53682744159,23879498658
77,53683403361,32958569209
78,53683403361,22968972534
79,53683403361,19126770120
80,53683403361,19914921981
81,53683403361,24161703422
82,53683403361,22533116907
83,53683403361,27327815259
84,53683403361,28358730827
85,53683403361,21481071412
86,53683403361,13007590623
87,53683403361,13420817043
88,53683403361,5368340336
89,53683403361,17752502618
90,53683403361,25321070950
91,53683403361,27743310740
92,53683403361,25526673527
93,53683403361,18010706592
94,53683403361,32425613579
95,53683403361,27814756627
96,53683403361,29525634379
97,54095733941,39596806079
98,54095733941,29566962077
99,54096328354,20309519447
100,54096328354,34212918631
101,54096328354,18612562162
102,54096328354,15729446112
103,54096328354,9294914706
104,54096328354,18189202874
105,54096328354,31864621371
106,54096328354,19978154297
107,54096328354,23695427451
108,54096328354,15678846069
109,54096328354,5409632835
110,54096328354,8114449253
111,54096328354,8114449253
112,54096328354,10819265671
113,54096328354,8114449253
114,54096328354,8114449253
115,54096328354,5409632835
116,54096328354,8114449253
117,54096328354,16228898506
118,54096328354,13524082089
119,54096328354,13524082089
120,54096328354,8114449253
121,54096328354,8114449253
122,54096328354,10819265671
123,54096328354,10819265671
124,54096328354,10819265671
125,54096328354,10819265671
126,54096328354,8114449253
127,54096328354,5409632835
128,54096328354,8114449253
129,54096328354,8114449253
130,54096328354,5409632835
131,54096328354,5409632835
132,55561817044,15062492761
133,55561817044,19142242715
134,55561817044,22393225368
135,55561817044,8334272557
136,55561817044,22814946819
137,57242456530,54189713018
